ID,Company / Brand / Platform,Entity Type,Primary Category,Sub-category,Country / Region,Description,ADC Relevance,Priority Score,Priority,AI / Data Relevance,Potential Use Case,Public Contact,Official Website,LinkedIn,Research Search URL,Verification Status,Last Reviewed,Notes
ST-0001,Cockatoo,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,100,High,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Cockatoo+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0002,Lumistar,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,100,High,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Lumistar+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0003,THIRD ELEMENT,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,100,High,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=THIRD+ELEMENT+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0004,Alfa Hockey,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Athlete Platforms,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Potential Partner / Customer,100,High,High,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Alfa+Hockey+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0005,Alpha Coach,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Coaching & Fitness,Global / verify,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Potential Partner / Customer,95,High,High,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Alpha+Coach+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0006,Elemnt Sports Science,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Athlete Platforms,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Potential Partner / Customer,100,High,High,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Elemnt+Sports+Science+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0007,HoopTEQ,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Athlete Platforms,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Direct / Adjacent Competitor,100,High,High,"Benchmark product, positioning, pricing, datasets, and GTM.",,,,https://www.bing.com/search?q=HoopTEQ+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0008,KhiladiPRO,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Athlete Platforms,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Direct / Adjacent Competitor,100,High,High,"Benchmark product, positioning, pricing, datasets, and GTM.",,,,https://www.bing.com/search?q=KhiladiPRO+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0009,Mind Your Fitness,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Coaching & Fitness,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Potential Partner / Customer,100,High,High,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Mind+Your+Fitness+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0010,SportzEngage,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Athlete Platforms,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Direct / Adjacent Competitor,100,High,High,"Benchmark product, positioning, pricing, datasets, and GTM.",,,,https://www.bing.com/search?q=SportzEngage+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0011,UpUrFit,Company / Brand / Platform,"Athlete Platforms, Scouting & Sponsorship",Athlete Platforms,India,"Athlete discovery, digital profiles, scouting, sponsorship, or team workflow platform.",Potential Partner / Customer,100,High,High,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=UpUrFit+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0012,Alpino,Company / Brand / Platform,"Sports Nutrition, Food & Supplements",Nutrition & Wellness,India,"Sports nutrition, functional food, hydration, supplements, or wellness brand.",Brand Partnership / Customer,100,High,Potential,"Brand matching, athlete discovery, sponsorship intelligence, and campaign measurement.",,,,https://www.bing.com/search?q=Alpino+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0013,BOLT Nutrition,Company / Brand / Platform,"Sports Nutrition, Food & Supplements",Nutrition & Wellness,Global / verify,"Sports nutrition, functional food, hydration, supplements, or wellness brand.",Brand Partnership / Customer,85,High,Potential,"Brand matching, athlete discovery, sponsorship intelligence, and campaign measurement.",,,,https://www.bing.com/search?q=BOLT+Nutrition+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
